Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th
1986,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1987,Does not include a Friday the 13th,Includes a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th
1988,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1989,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1990,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1991,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th
1992,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th
1993,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1994,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1995,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1996,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th
1997,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
1998,Does not include a Friday the 13th,Includes a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th
1999,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2000,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2001,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2002,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th
2003,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2004,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
2005,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Includes a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th,Does not include a Friday the 13th
